id,name,type,phase,durationSeconds,startTime
2070,Educational Codeforces Round 175 (Rated for Div. 2),ICPC,FINISHED,7200,2025-02-27 14:35:00
2072,Codeforces Round 1006 (Div. 3),ICPC,FINISHED,8100,2025-02-25 14:35:00
2069,Educational Codeforces Round 174 (Rated for Div. 2),ICPC,FINISHED,7200,2025-02-18 14:35:00
2064,Codeforces Round 1005 (Div. 2),CF,FINISHED,7200,2025-02-16 14:35:00
2066,Codeforces Round 1004 (Div. 1),CF,FINISHED,7200,2025-02-11 14:35:00
2067,Codeforces Round 1004 (Div. 2),CF,FINISHED,7200,2025-02-11 14:35:00
2065,Codeforces Round 1003 (Div. 4),ICPC,FINISHED,8100,2025-02-09 14:35:00
2059,Codeforces Round 1002 (Div. 2),CF,FINISHED,7200,2025-02-02 14:35:00
2062,"Ethflow Round 1 (Codeforces Round 1001, Div. 1 + Div. 2)",CF,FINISHED,9000,2025-01-26 14:35:00
2063,Codeforces Round 1000 (Div. 2),CF,FINISHED,7200,2025-01-22 12:05:00
2061,"IAEPC Preliminary Contest (Codeforces Round 999, Div. 1 + Div. 2)",CF,FINISHED,10800,2025-01-20 14:35:00
2060,Codeforces Round 998 (Div. 3),ICPC,FINISHED,9000,2025-01-19 14:35:00
2056,Codeforces Round 997 (Div. 2),CF,FINISHED,7200,2025-01-17 14:35:00
2055,Codeforces Round 996 (Div. 2),CF,FINISHED,7200,2025-01-12 14:35:00
2057,Hello 2025,CF,FINISHED,9000,2025-01-04 14:35:00
2053,Good Bye 2024: 2025 is NEAR,CF,FINISHED,10800,2024-12-28 14:35:00
2043,Educational Codeforces Round 173 (Rated for Div. 2),ICPC,FINISHED,7200,2024-12-24 14:35:00
2054,MaraTON Challenge 1,IOI,FINISHED,1814400,2024-12-23 13:35:00
2051,Codeforces Round 995 (Div. 3),ICPC,FINISHED,8100,2024-12-22 14:35:00
2049,Codeforces Round 994 (Div. 2),CF,FINISHED,7200,2024-12-20 14:35:00
2048,Codeforces Global Round 28,CF,FINISHED,10800,2024-12-19 14:35:00
2044,Codeforces Round 993 (Div. 4),ICPC,FINISHED,8100,2024-12-15 14:35:00
2052,"2024-2025 ICPC, NERC, Northern Eurasia Finals (Unrated, Online Mirror, ICPC Rules, Teams Preferred)",ICPC,FINISHED,18000,2024-12-15 07:35:00
2040,Codeforces Round 992 (Div. 2),CF,FINISHED,7200,2024-12-08 14:35:00
2050,Codeforces Round 991 (Div. 3),ICPC,FINISHED,8100,2024-12-05 14:35:00
2046,Codeforces Round 990 (Div. 1),CF,FINISHED,7200,2024-12-03 06:25:00
2047,Codeforces Round 990 (Div. 2),CF,FINISHED,7200,2024-12-03 06:25:00
2042,Educational Codeforces Round 172 (Rated for Div. 2),ICPC,FINISHED,7200,2024-12-02 14:35:00
2045,"2024-2025 ICPC Asia Jakarta Regional Contest (Unrated, Online Mirror, ICPC Rules, Teams Preferred)",ICPC,FINISHED,18000,2024-12-01 05:05:00
2034,"Rayan Programming Contest 2024 - Selection (Codeforces Round 989, Div. 1 + Div. 2)",CF,FINISHED,10800,2024-11-30 14:35:00
2041,"2024 ICPC Asia Taichung Regional Contest (Unrated, Online Mirror, ICPC Rules, Preferably Teams)",ICPC,FINISHED,18000,2024-11-24 07:05:00
2039,"CodeTON Round 9 (Div. 1 + Div. 2, Rated, Prizes!)",CF,FINISHED,10800,2024-11-23 14:35:00
2038,"2024-2025 ICPC, NERC, Southern and Volga Russian Regional Contest (Unrated, Online Mirror, ICPC Rules, Preferably Teams)",ICPC,FINISHED,18000,2024-11-18 10:35:00
2037,Codeforces Round 988 (Div. 3),ICPC,FINISHED,8100,2024-11-17 14:35:00
2031,Codeforces Round 987 (Div. 2),CF,FINISHED,7200,2024-11-15 12:35:00
2028,Codeforces Round 986 (Div. 2),CF,FINISHED,7200,2024-11-10 15:35:00
2029,Refact.ai Match 1 (Codeforces Round 985),CF,FINISHED,10800,2024-11-09 14:35:00
2036,Codeforces Round 984 (Div. 3),ICPC,FINISHED,8100,2024-11-02 14:35:00
2032,Codeforces Round 983 (Div. 2),CF,FINISHED,7200,2024-11-01 14:35:00
2026,Educational Codeforces Round 171 (Rated for Div. 2),ICPC,FINISHED,7200,2024-10-28 14:35:00
2035,Codeforces Global Round 27,CF,FINISHED,10800,2024-10-27 14:35:00
2027,Codeforces Round 982 (Div. 2),CF,FINISHED,7200,2024-10-26 14:35:00
2033,Codeforces Round 981 (Div. 3),ICPC,FINISHED,8100,2024-10-24 14:35:00
2023,Codeforces Round 980 (Div. 1),CF,FINISHED,7200,2024-10-20 09:05:00
2024,Codeforces Round 980 (Div. 2),CF,FINISHED,7200,2024-10-20 09:05:00
2030,Codeforces Round 979 (Div. 2),CF,FINISHED,8100,2024-10-19 14:05:00
2025,Educational Codeforces Round 170 (Rated for Div. 2),ICPC,FINISHED,7200,2024-10-14 14:35:00
2022,Codeforces Round 978 (Div. 2),CF,FINISHED,7200,2024-10-13 19:35:00
2021,"Codeforces Round 977 (Div. 2, based on COMPFEST 16 - Final Round)",CF,FINISHED,7200,2024-10-06 06:05:00
2011,Kotlin Heroes: Episode 11,ICPC,FINISHED,9000,2024-09-30 14:35:00
2020,Codeforces Round 976 (Div. 2) and Divide By Zero 9.0,CF,FINISHED,7200,2024-09-29 15:35:00
2018,Codeforces Round 975 (Div. 1),CF,FINISHED,9000,2024-09-27 13:35:00
2019,Codeforces Round 975 (Div. 2),CF,FINISHED,9000,2024-09-27 13:35:00
2014,Codeforces Round 974 (Div. 3),ICPC,FINISHED,8100,2024-09-21 14:45:00
2013,Codeforces Round 973 (Div. 2),CF,FINISHED,7200,2024-09-20 14:35:00
2012,Kotlin Heroes: Practice 11,ICPC,FINISHED,1123200,2024-09-17 14:35:00
2017,2024 ICPC World Finals: JetBrains Tech Trek,ICPC,FINISHED,2580,2024-09-17 04:47:00
2005,Codeforces Round 972 (Div. 2),CF,FINISHED,7200,2024-09-14 14:35:00
2009,Codeforces Round 971 (Div. 4),ICPC,FINISHED,9000,2024-09-03 14:35:00
2008,Codeforces Round 970 (Div. 3),ICPC,FINISHED,8100,2024-09-01 14:35:00
2006,Codeforces Round 969 (Div. 1),CF,FINISHED,9000,2024-08-30 14:35:00
2007,Codeforces Round 969 (Div. 2),CF,FINISHED,9000,2024-08-30 14:35:00
2010,Testing Round 19 (Div. 3),ICPC,FINISHED,2700,2024-08-28 20:35:00
2003,Codeforces Round 968 (Div. 2),CF,FINISHED,7200,2024-08-25 14:35:00
2001,Codeforces Round 967 (Div. 2),CF,FINISHED,7200,2024-08-20 14:35:00
2004,Educational Codeforces Round 169 (Rated for Div. 2),ICPC,FINISHED,7200,2024-08-15 14:35:00
2000,Codeforces Round 966 (Div. 3),ICPC,FINISHED,8100,2024-08-13 14:40:00
2002,EPIC Institute of Technology Round August 2024 (Div. 1 + Div. 2),CF,FINISHED,10800,2024-08-11 14:35:00
1998,Codeforces Round 965 (Div. 2),CF,FINISHED,7200,2024-08-10 14:35:00
1999,Codeforces Round 964 (Div. 4),ICPC,FINISHED,8700,2024-08-06 14:35:00
1993,Codeforces Round 963 (Div. 2),CF,FINISHED,7200,2024-08-04 14:35:00
1997,Educational Codeforces Round 168 (Rated for Div. 2),ICPC,FINISHED,7200,2024-07-30 14:35:00
1991,Pinely Round 4 (Div. 1 + Div. 2),CF,FINISHED,10800,2024-07-28 14:35:00
1996,Codeforces Round 962 (Div. 3),ICPC,FINISHED,9000,2024-07-26 14:35:00
1995,Codeforces Round 961 (Div. 2),CF,FINISHED,7200,2024-07-23 14:35:00
1990,Codeforces Round 960 (Div. 2),CF,FINISHED,7200,2024-07-20 14:35:00
1994,Codeforces Round 959 sponsored by NEAR (Div. 1 + Div. 2),CF,FINISHED,7200,2024-07-18 14:35:00
1988,Codeforces Round 958 (Div. 2),CF,FINISHED,7200,2024-07-15 14:35:00
1992,Codeforces Round 957 (Div. 3),ICPC,FINISHED,8100,2024-07-11 14:35:00
1983,Codeforces Round 956 (Div. 2) and ByteRace 2024,CF,FINISHED,8100,2024-07-07 14:35:00
1987,EPIC Institute of Technology Round Summer 2024 (Div. 1 + Div. 2),CF,FINISHED,10800,2024-06-30 14:35:00
1989,Educational Codeforces Round 167 (Rated for Div. 2),ICPC,FINISHED,7200,2024-06-27 14:35:00
1982,"Codeforces Round 955 (Div. 2, with prizes from NEAR!)",CF,FINISHED,7200,2024-06-25 14:35:00
1986,Codeforces Round 954 (Div. 3),ICPC,FINISHED,8100,2024-06-23 14:50:00
1978,Codeforces Round 953 (Div. 2),CF,FINISHED,7200,2024-06-16 09:05:00
1985,Codeforces Round 952 (Div. 4),ICPC,FINISHED,9000,2024-06-11 14:35:00
1984,Codeforces Global Round 26,CF,FINISHED,10800,2024-06-09 14:35:00
1979,Codeforces Round 951 (Div. 2),CF,FINISHED,7200,2024-06-06 14:35:00
1980,Codeforces Round 950 (Div. 3),ICPC,FINISHED,8100,2024-06-03 14:35:00
1981,Codeforces Round 949 (Div. 2),CF,FINISHED,7200,2024-05-31 10:05:00
1976,Educational Codeforces Round 166 (Rated for Div. 2),ICPC,FINISHED,7200,2024-05-30 14:35:00
1977,Codeforces Round 948 (Div. 2),CF,FINISHED,7200,2024-05-26 14:35:00
1975,Codeforces Round 947 (Div. 1 + Div. 2),CF,FINISHED,10800,2024-05-25 14:35:00
1974,Codeforces Round 946 (Div. 3),ICPC,FINISHED,8100,2024-05-20 14:35:00
1973,Codeforces Round 945 (Div. 2),CF,FINISHED,7200,2024-05-17 14:35:00
1958,Kotlin Heroes: Episode 10,ICPC,FINISHED,9000,2024-05-13 14:35:00
1971,Codeforces Round 944 (Div. 4),ICPC,FINISHED,8100,2024-05-10 14:35:00
1959,Kotlin Heroes: Practice 10,ICPC,FINISHED,511200,2024-05-07 15:35:00
1953,2023 Post World Finals Online ICPC Challenge powered by Huawei,IOI,FINISHED,1472400,2024-05-06 15:00:00
1970,"Helvetic Coding Contest 2024 online mirror (teams allowed, unrated)",ICPC,FINISHED,16200,2024-05-04 07:05:00
1968,Codeforces Round 943 (Div. 3),ICPC,FINISHED,8100,2024-05-02 14:45:00
1967,Codeforces Round 942 (Div. 1),CF,FINISHED,9000,2024-04-30 14:35:00
1972,Codeforces Round 942 (Div. 2),CF,FINISHED,9000,2024-04-30 14:35:00
1969,Educational Codeforces Round 165 (Rated for Div. 2),ICPC,FINISHED,7200,2024-04-29 14:35:00
1965,Codeforces Round 941 (Div. 1),CF,FINISHED,7200,2024-04-27 14:35:00
1966,Codeforces Round 941 (Div. 2),CF,FINISHED,7200,2024-04-27 14:35:00
1957,Codeforces Round 940 (Div. 2) and CodeCraft-23,CF,FINISHED,8100,2024-04-21 14:35:00
1956,Codeforces Round 939 (Div. 2),CF,FINISHED,7200,2024-04-13 14:35:00
1954,Educational Codeforces Round 164 (Rated for Div. 2),ICPC,FINISHED,7200,2024-04-12 14:35:00
1955,Codeforces Round 938 (Div. 3),ICPC,FINISHED,8100,2024-04-08 14:35:00
1951,Codeforces Global Round 25,CF,FINISHED,10800,2024-04-06 14:35:00
1952,April Fools Day Contest 2024,ICPC,FINISHED,7200,2024-04-01 14:35:00
1942,"CodeTON Round 8 (Div. 1 + Div. 2, Rated, Prizes!)",CF,FINISHED,10800,2024-03-30 14:35:00
1950,Codeforces Round 937 (Div. 4),ICPC,FINISHED,8100,2024-03-28 14:45:00
1949,"European Championship 2024 - Online Mirror (Unrated, ICPC Rules, Teams Preferred)",ICPC,FINISHED,18000,2024-03-24 10:00:00
1946,Codeforces Round 936 (Div. 2),CF,FINISHED,7200,2024-03-22 14:35:00
1945,Codeforces Round 935 (Div. 3),ICPC,FINISHED,8100,2024-03-19 08:05:00
1943,Codeforces Round 934 (Div. 1),CF,FINISHED,8700,2024-03-16 14:35:00
1944,Codeforces Round 934 (Div. 2),CF,FINISHED,8700,2024-03-16 14:35:00
1948,Educational Codeforces Round 163 (Rated for Div. 2),ICPC,FINISHED,7200,2024-03-15 14:35:00
1941,Codeforces Round 933 (Div. 3),ICPC,FINISHED,8100,2024-03-11 14:35:00
1940,"XVIII Open Olympiad in Informatics - Final Stage, Day 2 (Unrated, Online Mirror, IOI rules)",IOI,FINISHED,18000,2024-03-09 09:05:00
1939,"XVIII Open Olympiad in Informatics - Final Stage, Day 1 (Unrated, Online Mirror, IOI rules)",IOI,FINISHED,18000,2024-03-08 09:05:00
1935,Codeforces Round 932 (Div. 2),CF,FINISHED,7200,2024-03-05 14:35:00
1938,"2024 ICPC Asia Pacific Championship - Online Mirror (Unrated, Online Mirror, ICPC Rules, Teams Preferred)",ICPC,FINISHED,18000,2024-03-02 02:35:00
1934,Codeforces Round 931 (Div. 2),CF,FINISHED,7200,2024-03-01 14:35:00
1936,Codeforces Round 930 (Div. 1),CF,FINISHED,7200,2024-02-29 14:35:00
1937,Codeforces Round 930 (Div. 2),CF,FINISHED,7200,2024-02-29 14:35:00
1933,Codeforces Round 929 (Div. 3),ICPC,FINISHED,8100,2024-02-27 14:35:00
1923,Educational Codeforces Round 162 (Rated for Div. 2),ICPC,FINISHED,7200,2024-02-23 14:35:00
1926,Codeforces Round 928 (Div. 4),ICPC,FINISHED,8100,2024-02-19 14:35:00
1932,Codeforces Round 927 (Div. 3),ICPC,FINISHED,8100,2024-02-18 12:05:00
1930,think-cell Round 1,CF,FINISHED,10800,2024-02-17 14:35:00
1929,Codeforces Round 926 (Div. 2),CF,FINISHED,7200,2024-02-15 14:35:00
1931,Codeforces Round 925 (Div. 3),ICPC,FINISHED,8100,2024-02-13 14:35:00
1928,Codeforces Round 924 (Div. 2),CF,FINISHED,7200,2024-02-11 09:35:00
1927,Codeforces Round 923 (Div. 3),ICPC,FINISHED,8100,2024-02-06 14:45:00
1918,Codeforces Round 922 (Div. 2),CF,FINISHED,7800,2024-01-30 14:35:00
1924,Codeforces Round 921 (Div. 1),CF,FINISHED,7200,2024-01-27 14:45:00
1925,Codeforces Round 921 (Div. 2),CF,FINISHED,7200,2024-01-27 14:45:00
1922,Educational Codeforces Round 161 (Rated for Div. 2),ICPC,FINISHED,7200,2024-01-18 14:35:00
1921,Codeforces Round 920 (Div. 3),ICPC,FINISHED,8100,2024-01-15 14:35:00
1920,Codeforces Round 919 (Div. 2),CF,FINISHED,7200,2024-01-13 14:35:00
1919,Hello 2024,CF,FINISHED,9000,2024-01-06 14:35:00
1916,Good Bye 2023,CF,FINISHED,7200,2023-12-30 14:50:00
1915,Codeforces Round 918 (Div. 4),ICPC,FINISHED,9000,2023-12-28 14:35:00
1917,Codeforces Round 917 (Div. 2),CF,FINISHED,7200,2023-12-24 14:35:00
1909,Pinely Round 3 (Div. 1 + Div. 2),CF,FINISHED,10800,2023-12-23 14:35:00
1914,Codeforces Round 916 (Div. 3),ICPC,FINISHED,9000,2023-12-19 14:35:00
1913,Educational Codeforces Round 160 (Rated for Div. 2),ICPC,FINISHED,7200,2023-12-18 14:35:00
1905,Codeforces Round 915 (Div. 2),CF,FINISHED,7200,2023-12-16 14:35:00
1912,"2023-2024 ICPC, NERC, Northern Eurasia Onsite (Unrated, Online Mirror, ICPC Rules, Teams Preferred)",ICPC,FINISHED,18000,2023-12-13 07:35:00
1910,"Kotlin Heroes: Episode 9 (Unrated, T-Shirts + Prizes!)",ICPC,FINISHED,9000,2023-12-11 14:35:00
1904,Codeforces Round 914 (Div. 2),CF,FINISHED,7200,2023-12-09 16:05:00
1907,Codeforces Round 913 (Div. 3),ICPC,FINISHED,8100,2023-12-05 14:45:00
1902,Educational Codeforces Round 159 (Rated for Div. 2),ICPC,FINISHED,7200,2023-12-03 14:35:00
1906,"2023-2024 ICPC, Asia Jakarta Regional Contest (Online Mirror, Unrated, ICPC Rules, Teams Preferred)",ICPC,FINISHED,18000,2023-12-03 04:35:00
1911,Kotlin Heroes: Practice 9 (release 2),ICPC,FINISHED,864000,2023-12-01 14:25:00
1903,Codeforces Round 912 (Div. 2),CF,FINISHED,8100,2023-11-30 16:35:00
1900,Codeforces Round 911 (Div. 2),CF,FINISHED,7200,2023-11-26 14:35:00
1896,"CodeTON Round 7 (Div. 1 + Div. 2, Rated, Prizes!)",CF,FINISHED,9000,2023-11-25 14:50:00
1901,Educational Codeforces Round 158 (Rated for Div. 2),ICPC,FINISHED,7200,2023-11-24 14:35:00
1885,ICPC 2023 Online Challenge powered by Huawei,IOI,FINISHED,1209600,2023-11-20 07:00:00
1898,Codeforces Round 910 (Div. 2),CF,FINISHED,7200,2023-11-19 14:35:00
1899,Codeforces Round 909 (Div. 3),ICPC,FINISHED,8100,2023-11-17 14:35:00
1893,Codeforces Round 908 (Div. 1),CF,FINISHED,7200,2023-11-07 14:35:00
1894,Codeforces Round 908 (Div. 2),CF,FINISHED,7200,2023-11-07 14:35:00
1895,Educational Codeforces Round 157 (Rated for Div. 2),ICPC,FINISHED,7200,2023-11-03 14:35:00
1891,Codeforces Round 907 (Div. 2),CF,FINISHED,7200,2023-10-30 14:35:00
1889,Codeforces Round 906 (Div. 1),CF,FINISHED,9000,2023-10-28 14:35:00
1890,Codeforces Round 906 (Div. 2),CF,FINISHED,9000,2023-10-28 14:35:00
1887,Codeforces Round 905 (Div. 1),CF,FINISHED,7200,2023-10-22 11:05:00
1888,Codeforces Round 905 (Div. 2),CF,FINISHED,7200,2023-10-22 11:05:00
1883,Codeforces Round 905 (Div. 3),CF,FINISHED,7200,2023-10-22 11:05:00
1884,Codeforces Round 904 (Div. 2),CF,FINISHED,7200,2023-10-22 07:05:00
1881,Codeforces Round 903 (Div. 3),ICPC,FINISHED,8100,2023-10-12 14:35:00
1886,Educational Codeforces Round 156 (Rated for Div. 2),ICPC,FINISHED,7200,2023-10-09 14:35:00
1876,"Codeforces Round 902 (Div. 1, based on COMPFEST 15 - Final Round)",CF,FINISHED,9000,2023-10-08 09:05:00
1877,"Codeforces Round 902 (Div. 2, based on COMPFEST 15 - Final Round)",CF,FINISHED,9000,2023-10-08 09:05:00
1874,Codeforces Round 901 (Div. 1),CF,FINISHED,10800,2023-09-30 14:35:00
1875,Codeforces Round 901 (Div. 2),CF,FINISHED,10800,2023-09-30 14:35:00
1878,Codeforces Round 900 (Div. 3),ICPC,FINISHED,8100,2023-09-26 14:35:00
1882,Codeforces Round 899 (Div. 2),CF,FINISHED,7200,2023-09-25 14:35:00
1879,Educational Codeforces Round 155 (Rated for Div. 2),ICPC,FINISHED,7200,2023-09-24 14:35:00
1873,Codeforces Round 898 (Div. 4),ICPC,FINISHED,9000,2023-09-21 14:35:00
1870,"CodeTON Round 6 (Div. 1 + Div. 2, Rated, Prizes!)",CF,FINISHED,8100,2023-09-18 14:35:00
1867,Codeforces Round 897 (Div. 2),CF,FINISHED,7200,2023-09-11 14:35:00
1868,Codeforces Round 896 (Div. 1),CF,FINISHED,9000,2023-09-10 14:05:00
1869,Codeforces Round 896 (Div. 2),CF,FINISHED,9000,2023-09-10 14:05:00
1872,Codeforces Round 895 (Div. 3),ICPC,FINISHED,8100,2023-09-07 14:35:00
1866,"COMPFEST 15 - Preliminary Online Mirror (Unrated, ICPC Rules, Teams Preferred)",ICPC,FINISHED,18000,2023-09-03 12:05:00
1861,Educational Codeforces Round 154 (Rated for Div. 2),ICPC,FINISHED,7200,2023-08-31 14:35:00
1863,Pinely Round 2 (Div. 1 + Div. 2),CF,FINISHED,10800,2023-08-30 14:35:00
1864,Harbour.Space Scholarship Contest 2023-2024 (Div. 1 + Div. 2),CF,FINISHED,10800,2023-08-26 14:35:00
1862,Codeforces Round 894 (Div. 3),ICPC,FINISHED,8100,2023-08-24 14:35:00
1860,Educational Codeforces Round 153 (Rated for Div. 2),ICPC,FINISHED,7200,2023-08-17 14:35:00
1858,Codeforces Round 893 (Div. 2),CF,FINISHED,7200,2023-08-15 14:35:00
1859,Codeforces Round 892 (Div. 2),CF,FINISHED,7200,2023-08-12 14:35:00
1857,Codeforces Round 891 (Div. 3),ICPC,FINISHED,8100,2023-08-07 14:35:00
1856,Codeforces Round 890 (Div. 2) supported by Constructor Institute,CF,FINISHED,7200,2023-08-05 14:35:00
1854,Codeforces Round 889 (Div. 1),CF,FINISHED,9000,2023-07-29 14:35:00
1855,Codeforces Round 889 (Div. 2),CF,FINISHED,9000,2023-07-29 14:35:00
1849,Educational Codeforces Round 152 (Rated for Div. 2),ICPC,FINISHED,7200,2023-07-27 14:35:00
1851,Codeforces Round 888 (Div. 3),ICPC,FINISHED,8100,2023-07-25 14:35:00
1852,Codeforces Round 887 (Div. 1),CF,FINISHED,9000,2023-07-23 14:35:00
1853,Codeforces Round 887 (Div. 2),CF,FINISHED,9000,2023-07-23 14:35:00
1850,Codeforces Round 886 (Div. 4),ICPC,FINISHED,7200,2023-07-21 14:35:00
1848,Codeforces Round 885 (Div. 2),CF,FINISHED,7200,2023-07-16 14:35:00
1844,Codeforces Round 884 (Div. 1 + Div. 2),CF,FINISHED,10800,2023-07-11 14:35:00
1846,Codeforces Round 883 (Div. 3),ICPC,FINISHED,8100,2023-07-07 14:35:00
1847,Codeforces Round 882 (Div. 2),CF,FINISHED,8100,2023-07-06 14:35:00
1845,Educational Codeforces Round 151 (Rated for Div. 2),ICPC,FINISHED,7200,2023-06-29 14:35:00
1842,"CodeTON Round 5 (Div. 1 + Div. 2, Rated, Prizes!)",CF,FINISHED,10800,2023-06-24 14:05:00
1843,Codeforces Round 881 (Div. 3),ICPC,FINISHED,8100,2023-06-20 14:35:00
1835,Codeforces Round 880 (Div. 1),CF,FINISHED,7200,2023-06-18 14:35:00
1836,Codeforces Round 880 (Div. 2),CF,FINISHED,7200,2023-06-18 14:35:00
1834,Codeforces Round 879 (Div. 2),CF,FINISHED,7200,2023-06-18 08:05:00
1841,Educational Codeforces Round 150 (Rated for Div. 2),ICPC,FINISHED,7200,2023-06-12 14:35:00
1840,Codeforces Round 878 (Div. 3),ICPC,FINISHED,8100,2023-06-06 14:35:00
1838,Codeforces Round 877 (Div. 2),CF,FINISHED,7200,2023-06-04 14:45:00
1839,Codeforces Round 876 (Div. 2),CF,FINISHED,7200,2023-06-03 14:35:00
1830,Codeforces Round 875 (Div. 1),CF,FINISHED,9000,2023-05-28 14:35:00
1831,Codeforces Round 875 (Div. 2),CF,FINISHED,9000,2023-05-28 14:35:00
1837,Educational Codeforces Round 149 (Rated for Div. 2),ICPC,FINISHED,7200,2023-05-25 14:35:00
1833,Codeforces Round 874 (Div. 3),ICPC,FINISHED,8100,2023-05-19 14:35:00
1827,Codeforces Round 873 (Div. 1),CF,FINISHED,7200,2023-05-14 14:35:00
1828,Codeforces Round 873 (Div. 2),CF,FINISHED,7200,2023-05-14 14:35:00
1832,Educational Codeforces Round 148 (Rated for Div. 2),ICPC,FINISHED,7200,2023-05-12 14:35:00
1824,Codeforces Round 872 (Div. 1),CF,FINISHED,7200,2023-05-08 12:05:00
1825,Codeforces Round 872 (Div. 2),CF,FINISHED,7200,2023-05-08 12:05:00
1829,Codeforces Round 871 (Div. 4),ICPC,FINISHED,8100,2023-05-06 14:35:00
1826,Codeforces Round 870 (Div. 2),CF,FINISHED,7200,2023-05-05 14:35:00
1817,Codeforces Round 869 (Div. 1),CF,FINISHED,8100,2023-04-29 14:35:00
1818,Codeforces Round 869 (Div. 2),CF,FINISHED,8100,2023-04-29 14:35:00
1823,Codeforces Round 868 (Div. 2),CF,FINISHED,7200,2023-04-27 14:35:00
1822,Codeforces Round 867 (Div. 3),ICPC,FINISHED,8100,2023-04-24 14:35:00
1821,Educational Codeforces Round 147 (Rated for Div. 2),ICPC,FINISHED,7200,2023-04-20 14:35:00
1819,Codeforces Round 866 (Div. 1),CF,FINISHED,7200,2023-04-15 09:05:00
1820,Codeforces Round 866 (Div. 2),CF,FINISHED,7200,2023-04-15 09:05:00
1813,ICPC 2023 Online Spring Challenge powered by Huawei,IOI,FINISHED,1209600,2023-04-13 11:00:00
1815,Codeforces Round 865 (Div. 1),CF,FINISHED,8100,2023-04-09 14:45:00
1816,Codeforces Round 865 (Div. 2),CF,FINISHED,8100,2023-04-09 14:45:00
1797,Codeforces Round 864 (Div. 2),CF,FINISHED,7200,2023-04-08 14:05:00
